Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,10001
Sweep Time,0.228
Start Frequency,2450000000
Stop Frequency,2550000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2450000000,-91.6791152954102
2450010000,-104.263862609863
2450020000,-91.6740264892578
2450030000,-104.862022399902
2450040000,-93.5324554443359
2450050000,-103.095809936523
2450060000,-88.1202621459961
2450070000,-103.077919006348
2450080000,-86.9359664916992
2450090000,-106.411636352539
2450100000,-96.7135009765625
2450110000,-113.597816467285
2450120000,-92.8917846679688
2450130000,-99.3851013183594
2450140000,-92.0317230224609
2450150000,-105.032005310059
2450160000,-90.3243865966797
2450170000,-104.464614868164
2450180000,-94.1913909912109
2450190000,-109.059448242188
2450200000,-91.6384658813477
2450210000,-102.163436889648
2450220000,-91.6163101196289
2450230000,-101.943328857422
2450240000,-88.7195205688477
2450250000,-106.141395568848
2450260000,-91.733268737793
2450270000,-109.500709533691
2450280000,-89.8236999511719
2450290000,-108.196105957031
2450300000,-95.7513275146484
2450310000,-109.120216369629
2450320000,-90.4884490966797
2450330000,-101.936653137207
2450340000,-91.1992492675781
2450350000,-109.472671508789
2450360000,-89.9262161254883
2450370000,-107.234603881836
2450380000,-96.6294555664063
2450390000,-112.910514831543
2450400000,-89.0346221923828
2450410000,-113.677627563477
2450420000,-91.3401565551758
2450430000,-98.4213714599609
2450440000,-90.3504028320313
2450450000,-110.029144287109
2450460000,-88.1481704711914
2450470000,-109.651184082031
2450480000,-94.1287002563477
2450490000,-106.864471435547
2450500000,-92.8488388061523
2450510000,-104.795341491699
2450520000,-88.6730194091797
2450530000,-112.06770324707
2450540000,-97.7995147705078
2450550000,-107.80143737793
2450560000,-96.4368896484375
2450570000,-104.513862609863
2450580000,-92.7789916992188
2450590000,-103.881622314453
2450600000,-92.1271362304688
2450610000,-107.627464294434
2450620000,-91.3319244384766
2450630000,-108.158218383789
2450640000,-89.9078674316406
2450650000,-102.42179107666
2450660000,-93.5948333740234
2450670000,-106.572929382324
2450680000,-91.6502838134766
2450690000,-104.857048034668
2450700000,-94.9157409667969
2450710000,-107.037162780762
2450720000,-92.2962646484375
2450730000,-97.7067947387695
2450740000,-93.4874420166016
2450750000,-106.74284362793
2450760000,-92.6819915771484
2450770000,-101.133544921875
2450780000,-93.450813293457
2450790000,-102.154075622559
2450800000,-91.7605361938477
2450810000,-97.0140686035156
2450820000,-90.8569641113281
2450830000,-107.042457580566
2450840000,-92.9295654296875
2450850000,-95.2854232788086
2450860000,-90.9542922973633
2450870000,-106.021171569824
2450880000,-91.3911972045898
2450890000,-102.928985595703
2450900000,-92.0021591186523
2450910000,-102.719970703125
2450920000,-95.5653991699219
2450930000,-109.484642028809
2450940000,-93.7880935668945
2450950000,-111.559799194336
2450960000,-94.5543518066406
2450970000,-108.164710998535
2450980000,-91.046630859375
2450990000,-99.765251159668
2451000000,-91.0654296875
