Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,10001
Sweep Time,0.228
Start Frequency,2450000000
Stop Frequency,2550000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2450000000,-91.9211578369141
2450010000,-113.369560241699
2450020000,-96.4289627075195
2450030000,-121.866348266602
2450040000,-93.8086318969727
2450050000,-112.984802246094
2450060000,-92.1439514160156
2450070000,-109.635787963867
2450080000,-95.0663909912109
2450090000,-104.527351379395
2450100000,-96.4563827514648
2450110000,-106.519744873047
2450120000,-90.4272842407227
2450130000,-99.9522323608398
2450140000,-92.0169372558594
2450150000,-101.041877746582
2450160000,-95.8899078369141
2450170000,-102.421630859375
2450180000,-90.8881301879883
2450190000,-108.845848083496
2450200000,-95.2508773803711
2450210000,-106.455902099609
2450220000,-91.8481140136719
2450230000,-111.804161071777
2450240000,-94.8669738769531
2450250000,-105.754585266113
2450260000,-93.6971817016602
2450270000,-109.549911499023
2450280000,-94.2441558837891
2450290000,-106.630088806152
2450300000,-91.1076049804688
2450310000,-102.096748352051
2450320000,-93.1947021484375
2450330000,-104.107055664063
2450340000,-91.7177429199219
2450350000,-98.1854705810547
2450360000,-91.046257019043
2450370000,-101.357917785645
2450380000,-94.4746856689453
2450390000,-100.11474609375
2450400000,-92.0915603637695
2450410000,-112.729370117188
2450420000,-93.9858322143555
2450430000,-99.9552459716797
2450440000,-91.0651550292969
2450450000,-107.312080383301
2450460000,-92.6053161621094
2450470000,-107.370132446289
2450480000,-90.6309051513672
2450490000,-103.469917297363
2450500000,-94.2931213378906
2450510000,-105.591148376465
2450520000,-95.2761077880859
2450530000,-110.180862426758
2450540000,-92.8759231567383
2450550000,-97.3726119995117
2450560000,-91.5687561035156
2450570000,-104.528076171875
2450580000,-90.9919815063477
2450590000,-107.494041442871
2450600000,-91.6072158813477
2450610000,-109.445472717285
2450620000,-94.0953521728516
2450630000,-101.512748718262
2450640000,-92.1448287963867
2450650000,-112.917449951172
2450660000,-92.3846206665039
2450670000,-118.649673461914
2450680000,-94.0143814086914
2450690000,-112.338996887207
2450700000,-91.7873992919922
2450710000,-106.640960693359
2450720000,-94.4555740356445
2450730000,-99.0230865478516
2450740000,-90.1782150268555
2450750000,-101.486480712891
2450760000,-92.8916091918945
2450770000,-102.732269287109
2450780000,-92.2525482177734
2450790000,-102.199867248535
2450800000,-91.5580291748047
2450810000,-102.201599121094
2450820000,-91.3165817260742
2450830000,-111.239356994629
2450840000,-94.7509841918945
2450850000,-107.484191894531
2450860000,-90.1280517578125
2450870000,-113.701072692871
2450880000,-96.7485275268555
2450890000,-110.695922851563
2450900000,-90.4881896972656
2450910000,-106.637847900391
2450920000,-90.3107452392578
2450930000,-112.481002807617
2450940000,-94.6487426757813
2450950000,-109.870056152344
2450960000,-93.9951782226563
2450970000,-110.679832458496
2450980000,-94.5498275756836
2450990000,-102.172012329102
